0000 - *CLS           *CLS       :*CLS
002C - BWLimit        BWL        :CHANnel<n>:BWLimit
002D - BWLimit?       BWL?       :CHANnel<n>:BWLimit?
002E - COUPling       COUP       :CHANnel<n>:COUPling
002F - COUPling?      COUP?      :CHANnel<n>:COUPling?
0030 - DISPlay        DISP       :CHANnel<n>:DISPlay
0031 - DISPlay?       DISP?      :CHANnel<n>:DISPlay?
0032 - INVert         INV        :CHANnel<n>:INVert
0033 - INVert?        INV?       :CHANnel<n>:INVert?
0034 - OFFSet         OFFS       :CHANnel<n>:OFFSet
0035 - OFFSet?        OFFS?      :CHANnel<n>:OFFSet?
0036 - SCALe          SCAL       :CHANnel<n>:SCALe
0037 - SCALe?         SCAL?      :CHANnel<n>:SCALe?
0038 - PROBe          PROB       :CHANnel<n>:PROBe
0039 - PROBe?         PROB?      :CHANnel<n>:PROBe?
003A - UNITs          UNIT       :CHANnel<n>:UNITs
003B - UNITs?         UNIT?      :CHANnel<n>:UNITs?
003C - VERNier        VERN       :CHANnel<n>:VERNier
003D - VERNier?       VERN?      :CHANnel<n>:VERNier?
003E - TCAL           TCAL       :CHANnel<n>:TCAL
003F - TCAL?          TCAL?      :CHANnel<n>:TCAL?
0040 - RANGe          RANG       :CHANnel<n>:RANGe
0041 - RANGe?         RANG?      :CHANnel<n>:RANGe?
0042 - MDEP?          MDEP?      :CHANnel<n>:MDEP?
0043 - CLEar          CLE        :DISPlay:CLEar
0044 - TYPE           TYPE       :DISPlay:TYPE
0045 - TYPE?          TYPE?      :DISPlay:TYPE?
0046 - GBRightness    GBR        :DISPlay:GBRightness
0047 - GBRightness?   GBR?       :DISPlay:GBRightness?
0048 - TIME           TIME       :DISPlay:GRADing:TIME
0049 - TIME?          TIME?      :DISPlay:GRADing:TIME?
004A - WBRightness    WBR        :DISPlay:WBRightness
004B - WBRightness?   WBR?       :DISPlay:WBRightness?
004C - GRID           GRID       :DISPlay:GRID
004D - GRID?          GRID?      :DISPlay:GRID?
004E - CREate         CRE        :MASK:CREate
004F - ENABle         ENAB       :MASK:ENABle
0050 - ENABle?        ENAB?      :MASK:ENABle?
0051 - MDISplay       MDIS       :MASK:MDISplay
0052 - MDISplay?      MDIS?      :MASK:MDISplay?
0053 - OPERate        OPER       :MASK:OPERate
0054 - OPERate?       OPER?      :MASK:OPERate?
0055 - SOOutput       SOO        :MASK:SOOutput
0056 - SOOutput?      SOO?       :MASK:SOOutput?
0057 - SOURce         SOUR       :MASK:SOURce
0058 - SOURce?        SOUR?      :MASK:SOURce?
0059 - OUTPut         OUTP       :MASK:OUTPut
005A - OUTPut?        OUTP?      :MASK:OUTPut?
005B - X              X          :MASK:X
005C - X?             X?         :MASK:X?
005D - Y              Y          :MASK:Y
005E - Y?             Y?         :MASK:Y?
005F - PASSed?        PASS?      :MASK:PASSed?
0060 - FAILed?        FAIL?      :MASK:FAILed?
0061 - TOTal?         TOT?       :MASK:TOTal?
0062 - RESet          RES        :MASK:RESet
0063 - DATA           DATA       :MASK:DATA
0064 - DATA?          DATA?      :MASK:DATA?
0065 - ADISplay       ADIS       :MEASure:ADISplay
0066 - ADISplay?      ADIS?      :MEASure:ADISplay?
0067 - AREA           AREA       :MEASure:AREA
0068 - AREA?          AREA?      :MEASure:AREA?
0069 - CAX            CAX        :MEASure:CREGion:CAX
006A - CAX?           CAX?       :MEASure:CREGion:CAX?
006B - CBX            CBX        :MEASure:CREGion:CBX
006C - CBX?           CBX?       :MEASure:CREGion:CBX?
006D - CLEar          CLE        :MEASure:CLEar
006E - RECover        REC        :MEASure:RECover
006F - AMSource       AMS        :MEASure:AMSource
0070 - AMSource?      AMS?       :MEASure:AMSource?
0071 - SOURce         SOUR       :MEASure:COUNter:SOURce
0072 - SOURce?        SOUR?      :MEASure:COUNter:SOURce?
0073 - VALue?         VAL?       :MEASure:COUNter:VALue?
0074 - MAX            MAX        :MEASure:SETup:MAX
0075 - MAX?           MAX?       :MEASure:SETup:MAX?
0076 - MID            MID        :MEASure:SETup:MID
0077 - MID?           MID?       :MEASure:SETup:MID?
0078 - MIN            MIN        :MEASure:SETup:MIN
0079 - MIN?           MIN?       :MEASure:SETup:MIN?
007A - TYPE           TYPE       :MEASure:SETup:TYPE
007B - TYPE?          TYPE?      :MEASure:SETup:TYPE?
007C - PSA            PSA        :MEASure:SETup:PSA
007D - PSA?           PSA?       :MEASure:SETup:PSA?
007E - PSB            PSB        :MEASure:SETup:PSB
007F - PSB?           PSB?       :MEASure:SETup:PSB?
0080 - DSA            DSA        :MEASure:SETup:DSA
0081 - DSA?           DSA?       :MEASure:SETup:DSA?
0082 - DSB            DSB        :MEASure:SETup:DSB
0083 - DSB?           DSB?       :MEASure:SETup:DSB?
0084 - SOURce         SOUR       :MEASure:SOURce
0085 - SOURce?        SOUR?      :MEASure:SOURce?
0086 - DISPlay        DISP       :MEASure:HISTory:DISPlay
0087 - DISPlay?       DISP?      :MEASure:HISTory:DISPlay?
0088 - DMODe          DMOD       :MEASure:HISTory:DMODe
0089 - DMODe?         DMOD?      :MEASure:HISTory:DMODe?
008A - ITEM           ITEM       :MEASure:ITEM
008B - ITEM?          ITEM?      :MEASure:ITEM?
008C - DISPlay        DISP       :MEASure:STATistic:DISPlay
008D - DISPlay?       DISP?      :MEASure:STATistic:DISPlay?
008E - RESet          RES        :MEASure:STATistic:RESet
008F - MODE           MODE       :MEASure:STATistic:MODE
0090 - MODE?          MODE?      :MEASure:STATistic:MODE?
0091 - ITEM           ITEM       :MEASure:STATistic:ITEM
0092 - ITEM?          ITEM?      :MEASure:STATistic:ITEM?
0093 - SA?            SA?        :MEASure:EPOSition:SA?
0094 - SB?            SB?        :MEASure:EPOSition:SB?
0095 - SA?            SA?        :MEASure:NPOSition:SA?
0096 - SB?            SB?        :MEASure:NPOSition:SB?
0097 - VMAX?          VMAX?      :MEASure:VMAX?
0098 - VMIN?          VMIN?      :MEASure:VMIN?
0099 - VPP?           VPP?       :MEASure:VPP?
009A - VTOP?          VTOP?      :MEASure:VTOP?
009B - VBASe?         VBAS?      :MEASure:VBASe?
009C - VAMP?          VAMP?      :MEASure:VAMP?
009D - VAVG?          VAVG?      :MEASure:VAVG?
009E - VRMS?          VRMS?      :MEASure:VRMS?
009F - OVERshoot?     OVER?      :MEASure:OVERshoot?
00A0 - PREShoot?      PRES?      :MEASure:PREShoot?
00A1 - PERiod?        PER?       :MEASure:PERiod?
00A2 - FREQuency?     FREQ?      :MEASure:FREQuency?
00A3 - RTIMe?         RTIM?      :MEASure:RTIMe?
00A4 - FTIMe?         FTIM?      :MEASure:FTIMe?
00A5 - PWIDth?        PWID?      :MEASure:PWIDth?
00A6 - NWIDth?        NWID?      :MEASure:NWIDth?
00A7 - PDUTy?         PDUT?      :MEASure:PDUTy?
00A8 - NDUTy?         NDUT?      :MEASure:NDUTy?
00A9 - PPULses?       PPUL?      :MEASure:PPULses?
00AA - NPULses?       NPUL?      :MEASure:NPULses?
00AB - PEDGes?        PEDG?      :MEASure:PEDGes?
00AC - NEDGes?        NEDG?      :MEASure:NEDGes?
00AD - RDELay?        RDEL?      :MEASure:RDELay?
00AE - FDELay?        FDEL?      :MEASure:FDELay?
00AF - RPHase?        RPH?       :MEASure:RPHase?
00B0 - FPHase?        FPH?       :MEASure:FPHase?
00B2 - SMAXimum?      SMAX?      :MEASure:VMAX:SMAXimum?
00B3 - SMINimum?      SMIN?      :MEASure:VMAX:SMINimum?
00B4 - SCURrent?      SCUR?      :MEASure:VMAX:SCURrent?
00B5 - SAVerage?      SAV?       :MEASure:VMAX:SAVerage?
00B6 - SDEViation?    SDEV?      :MEASure:VMAX:SDEViation?
00B8 - SMAXimum?      SMAX?      :MEASure:VMIN:SMAXimum?
00B9 - SMINimum?      SMIN?      :MEASure:VMIN:SMINimum?
00BA - SCURrent?      SCUR?      :MEASure:VMIN:SCURrent?
00BB - SAVerage?      SAV?       :MEASure:VMIN:SAVerage?
00BC - SDEViation?    SDEV?      :MEASure:VMIN:SDEViation?
00BE - SMAXimum?      SMAX?      :MEASure:VPP:SMAXimum?
00BF - SMINimum?      SMIN?      :MEASure:VPP:SMINimum?
00C0 - SCURrent?      SCUR?      :MEASure:VPP:SCURrent?
00C1 - SAVerage?      SAV?       :MEASure:VPP:SAVerage?
00C2 - SDEViation?    SDEV?      :MEASure:VPP:SDEViation?
00C4 - SMAXimum?      SMAX?      :MEASure:VTOP:SMAXimum?
00C5 - SMINimum?      SMIN?      :MEASure:VTOP:SMINimum?
00C6 - SCURrent?      SCUR?      :MEASure:VTOP:SCURrent?
00C7 - SAVerage?      SAV?       :MEASure:VTOP:SAVerage?
00C8 - SDEViation?    SDEV?      :MEASure:VTOP:SDEViation?
00CA - SMAXimum?      SMAX?      :MEASure:VBASe:SMAXimum?
00CB - SMINimum?      SMIN?      :MEASure:VBASe:SMINimum?
00CC - SCURrent?      SCUR?      :MEASure:VBASe:SCURrent?
00CD - SAVerage?      SAV?       :MEASure:VBASe:SAVerage?
00CE - SDEViation?    SDEV?      :MEASure:VBASe:SDEViation?
00D0 - SMAXimum?      SMAX?      :MEASure:VAMP:SMAXimum?
00D1 - SMINimum?      SMIN?      :MEASure:VAMP:SMINimum?
00D2 - SCURrent?      SCUR?      :MEASure:VAMP:SCURrent?
00D3 - SAVerage?      SAV?       :MEASure:VAMP:SAVerage?
00D4 - SDEViation?    SDEV?      :MEASure:VAMP:SDEViation?
00D6 - SMAXimum?      SMAX?      :MEASure:VAVG:SMAXimum?
00D7 - SMINimum?      SMIN?      :MEASure:VAVG:SMINimum?
00D8 - SCURrent?      SCUR?      :MEASure:VAVG:SCURrent?
00D9 - SAVerage?      SAV?       :MEASure:VAVG:SAVerage?
00DA - SDEViation?    SDEV?      :MEASure:VAVG:SDEViation?
00DC - SMAXimum?      SMAX?      :MEASure:VRMS:SMAXimum?
00DD - SMINimum?      SMIN?      :MEASure:VRMS:SMINimum?
00DE - SCURrent?      SCUR?      :MEASure:VRMS:SCURrent?
00DF - SAVerage?      SAV?       :MEASure:VRMS:SAVerage?
00E0 - SDEViation?    SDEV?      :MEASure:VRMS:SDEViation?
00E2 - SMAXimum?      SMAX?      :MEASure:OVERshoot:SMAXimum?
00E3 - SMINimum?      SMIN?      :MEASure:OVERshoot:SMINimum?
00E4 - SCURrent?      SCUR?      :MEASure:OVERshoot:SCURrent?
00E5 - SAVerage?      SAV?       :MEASure:OVERshoot:SAVerage?
00E6 - SDEViation?    SDEV?      :MEASure:OVERshoot:SDEViation?
00E8 - SMAXimum?      SMAX?      :MEASure:PREShoot:SMAXimum?
00E9 - SMINimum?      SMIN?      :MEASure:PREShoot:SMINimum?
00EA - SCURrent?      SCUR?      :MEASure:PREShoot:SCURrent?
00EB - SAVerage?      SAV?       :MEASure:PREShoot:SAVerage?
00EC - SDEViation?    SDEV?      :MEASure:PREShoot:SDEViation?
00EE - SMAXimum?      SMAX?      :MEASure:PERiod:SMAXimum?
00EF - SMINimum?      SMIN?      :MEASure:PERiod:SMINimum?
00F0 - SCURrent?      SCUR?      :MEASure:PERiod:SCURrent?
00F1 - SAVerage?      SAV?       :MEASure:PERiod:SAVerage?
00F2 - SDEViation?    SDEV?      :MEASure:PERiod:SDEViation?
00F4 - SMAXimum?      SMAX?      :MEASure:FREQuency:SMAXimum?
00F5 - SMINimum?      SMIN?      :MEASure:FREQuency:SMINimum?
00F6 - SCURrent?      SCUR?      :MEASure:FREQuency:SCURrent?
00F7 - SAVerage?      SAV?       :MEASure:FREQuency:SAVerage?
00F8 - SDEViation?    SDEV?      :MEASure:FREQuency:SDEViation?
00FA - SMAXimum?      SMAX?      :MEASure:RTIMe:SMAXimum?
00FB - SMINimum?      SMIN?      :MEASure:RTIMe:SMINimum?
00FC - SCURrent?      SCUR?      :MEASure:RTIMe:SCURrent?
00FD - SAVerage?      SAV?       :MEASure:RTIMe:SAVerage?
00FE - SDEViation?    SDEV?      :MEASure:RTIMe:SDEViation?
0100 - SMAXimum?      SMAX?      :MEASure:FTIMe:SMAXimum?
0101 - SMINimum?      SMIN?      :MEASure:FTIMe:SMINimum?
0102 - SCURrent?      SCUR?      :MEASure:FTIMe:SCURrent?
0103 - SAVerage?      SAV?       :MEASure:FTIMe:SAVerage?
0104 - SDEViation?    SDEV?      :MEASure:FTIMe:SDEViation?
0106 - SMAXimum?      SMAX?      :MEASure:PWIDth:SMAXimum?
0107 - SMINimum?      SMIN?      :MEASure:PWIDth:SMINimum?
0108 - SCURrent?      SCUR?      :MEASure:PWIDth:SCURrent?
0109 - SAVerage?      SAV?       :MEASure:PWIDth:SAVerage?
010A - SDEViation?    SDEV?      :MEASure:PWIDth:SDEViation?
010C - SMAXimum?      SMAX?      :MEASure:NWIDth:SMAXimum?
010D - SMINimum?      SMIN?      :MEASure:NWIDth:SMINimum?
010E - SCURrent?      SCUR?      :MEASure:NWIDth:SCURrent?
010F - SAVerage?      SAV?       :MEASure:NWIDth:SAVerage?
0110 - SDEViation?    SDEV?      :MEASure:NWIDth:SDEViation?
0112 - SMAXimum?      SMAX?      :MEASure:PDUTy:SMAXimum?
0113 - SMINimum?      SMIN?      :MEASure:PDUTy:SMINimum?
0114 - SCURrent?      SCUR?      :MEASure:PDUTy:SCURrent?
0115 - SAVerage?      SAV?       :MEASure:PDUTy:SAVerage?
0116 - SDEViation?    SDEV?      :MEASure:PDUTy:SDEViation?
0118 - SMAXimum?      SMAX?      :MEASure:NDUTy:SMAXimum?
0119 - SMINimum?      SMIN?      :MEASure:NDUTy:SMINimum?
011A - SCURrent?      SCUR?      :MEASure:NDUTy:SCURrent?
011B - SAVerage?      SAV?       :MEASure:NDUTy:SAVerage?
011C - SDEViation?    SDEV?      :MEASure:NDUTy:SDEViation?
011E - SMAXimum?      SMAX?      :MEASure:PPULses:SMAXimum?
011F - SMINimum?      SMIN?      :MEASure:PPULses:SMINimum?
0120 - SCURrent?      SCUR?      :MEASure:PPULses:SCURrent?
0121 - SAVerage?      SAV?       :MEASure:PPULses:SAVerage?
0122 - SDEViation?    SDEV?      :MEASure:PPULses:SDEViation?
0124 - SMAXimum?      SMAX?      :MEASure:NPULses:SMAXimum?
0125 - SMINimum?      SMIN?      :MEASure:NPULses:SMINimum?
0126 - SCURrent?      SCUR?      :MEASure:NPULses:SCURrent?
0127 - SAVerage?      SAV?       :MEASure:NPULses:SAVerage?
0128 - SDEViation?    SDEV?      :MEASure:NPULses:SDEViation?
012A - SMAXimum?      SMAX?      :MEASure:PEDGes:SMAXimum?
012B - SMINimum?      SMIN?      :MEASure:PEDGes:SMINimum?
012C - SCURrent?      SCUR?      :MEASure:PEDGes:SCURrent?
012D - SAVerage?      SAV?       :MEASure:PEDGes:SAVerage?
012E - SDEViation?    SDEV?      :MEASure:PEDGes:SDEViation?
0130 - SMAXimum?      SMAX?      :MEASure:NEDGes:SMAXimum?
0131 - SMINimum?      SMIN?      :MEASure:NEDGes:SMINimum?
0132 - SCURrent?      SCUR?      :MEASure:NEDGes:SCURrent?
0133 - SAVerage?      SAV?       :MEASure:NEDGes:SAVerage?
0134 - SDEViation?    SDEV?      :MEASure:NEDGes:SDEViation?
0136 - SMAXimum?      SMAX?      :MEASure:RDELay:SMAXimum?
0137 - SMINimum?      SMIN?      :MEASure:RDELay:SMINimum?
0138 - SCURrent?      SCUR?      :MEASure:RDELay:SCURrent?
0139 - SAVerage?      SAV?       :MEASure:RDELay:SAVerage?
013A - SDEViation?    SDEV?      :MEASure:RDELay:SDEViation?
013C - SMAXimum?      SMAX?      :MEASure:FDELay:SMAXimum?
013D - SMINimum?      SMIN?      :MEASure:FDELay:SMINimum?
013E - SCURrent?      SCUR?      :MEASure:FDELay:SCURrent?
013F - SAVerage?      SAV?       :MEASure:FDELay:SAVerage?
0140 - SDEViation?    SDEV?      :MEASure:FDELay:SDEViation?
0142 - SMAXimum?      SMAX?      :MEASure:RPHase:SMAXimum?
0143 - SMINimum?      SMIN?      :MEASure:RPHase:SMINimum?
0144 - SCURrent?      SCUR?      :MEASure:RPHase:SCURrent?
0145 - SAVerage?      SAV?       :MEASure:RPHase:SAVerage?
0146 - SDEViation?    SDEV?      :MEASure:RPHase:SDEViation?
0148 - SMAXimum?      SMAX?      :MEASure:FPHase:SMAXimum?
0149 - SMINimum?      SMIN?      :MEASure:FPHase:SMINimum?
014A - SCURrent?      SCUR?      :MEASure:FPHase:SCURrent?
014B - SAVerage?      SAV?       :MEASure:FPHase:SAVerage?
014C - SDEViation?    SDEV?      :MEASure:FPHase:SDEViation?
014D - MODE           MODE       :CURSor:MODE
014E - MODE?          MODE?      :CURSor:MODE?
014F - SOURce         SOUR       :CURSor:MANual:SOURce
0150 - SOURce?        SOUR?      :CURSor:MANual:SOURce?
0151 - TUNit          TUN        :CURSor:MANual:TUNit
0152 - TUNit?         TUN?       :CURSor:MANual:TUNit?
0153 - VUNit          VUN        :CURSor:MANual:VUNit
0154 - VUNit?         VUN?       :CURSor:MANual:VUNit?
0155 - TYPE           TYPE       :CURSor:MANual:TYPE
0156 - TYPE?          TYPE?      :CURSor:MANual:TYPE?
0157 - AX             AX         :CURSor:MANual:AX
0158 - AX?            AX?        :CURSor:MANual:AX?
0159 - BX             BX         :CURSor:MANual:BX
015A - BX?            BX?        :CURSor:MANual:BX?
015B - AY             AY         :CURSor:MANual:AY
015C - AY?            AY?        :CURSor:MANual:AY?
015D - BY             BY         :CURSor:MANual:BY
015E - BY?            BY?        :CURSor:MANual:BY?
015F - CAX            CAX        :CURSor:MANual:CAX
0160 - CAX?           CAX?       :CURSor:MANual:CAX?
0161 - CBX            CBX        :CURSor:MANual:CBX
0162 - CBX?           CBX?       :CURSor:MANual:CBX?
0163 - CAY            CAY        :CURSor:MANual:CAY
0164 - CAY?           CAY?       :CURSor:MANual:CAY?
0165 - CBY            CBY        :CURSor:MANual:CBY
0166 - CBY?           CBY?       :CURSor:MANual:CBY?
0167 - AXValue?       AXV?       :CURSor:MANual:AXValue?
0168 - AYValue?       AYV?       :CURSor:MANual:AYValue?
0169 - BXValue?       BXV?       :CURSor:MANual:BXValue?
016A - BYValue?       BYV?       :CURSor:MANual:BYValue?
016B - XDELta?        XDEL?      :CURSor:MANual:XDELta?
016C - IXDelta?       IXD?       :CURSor:MANual:IXDelta?
016D - YDELta?        YDEL?      :CURSor:MANual:YDELta?
016E - SOURce1        SOUR1      :CURSor:TRACk:SOURce1
016F - SOURce1?       SOUR1?     :CURSor:TRACk:SOURce1?
0170 - SOURce2        SOUR2      :CURSor:TRACk:SOURce2
0171 - SOURce2?       SOUR2?     :CURSor:TRACk:SOURce2?
0172 - AX             AX         :CURSor:TRACk:AX
0173 - AX?            AX?        :CURSor:TRACk:AX?
0174 - BX             BX         :CURSor:TRACk:BX
0175 - BX?            BX?        :CURSor:TRACk:BX?
0176 - AY?            AY?        :CURSor:TRACk:AY?
0177 - BY?            BY?        :CURSor:TRACk:BY?
0178 - CAX            CAX        :CURSor:TRACk:CAX
0179 - CAX?           CAX?       :CURSor:TRACk:CAX?
017A - CBX            CBX        :CURSor:TRACk:CBX
017B - CBX?           CBX?       :CURSor:TRACk:CBX?
017C - CAY?           CAY?       :CURSor:TRACk:CAY?
017D - CBY?           CBY?       :CURSor:TRACk:CBY?
017E - AXValue?       AXV?       :CURSor:TRACk:AXValue?
017F - BXValue?       BXV?       :CURSor:TRACk:BXValue?
0180 - AYValue?       AYV?       :CURSor:TRACk:AYValue?
0181 - BYValue?       BYV?       :CURSor:TRACk:BYValue?
0182 - XDELta?        XDEL?      :CURSor:TRACk:XDELta?
0183 - YDELta?        YDEL?      :CURSor:TRACk:YDELta?
0184 - IXDelta?       IXD?       :CURSor:TRACk:IXDelta?
0185 - ITEM           ITEM       :CURSor:AUTO:ITEM
0186 - ITEM?          ITEM?      :CURSor:AUTO:ITEM?
0187 - AX?            AX?        :CURSor:AUTO:AX?
0188 - BX?            BX?        :CURSor:AUTO:BX?
0189 - AY?            AY?        :CURSor:AUTO:AY?
018A - BY?            BY?        :CURSor:AUTO:BY?
018B - AXValue?       AXV?       :CURSor:AUTO:AXValue?
018C - BXValue?       BXV?       :CURSor:AUTO:BXValue?
018D - AYValue?       AYV?       :CURSor:AUTO:AYValue?
018E - BYValue?       BYV?       :CURSor:AUTO:BYValue?
018F - AX             AX         :CURSor:XY:AX
0190 - AX?            AX?        :CURSor:XY:AX?
0191 - BX             BX         :CURSor:XY:BX
0192 - BX?            BX?        :CURSor:XY:BX?
0193 - AY             AY         :CURSor:XY:AY
0194 - AY?            AY?        :CURSor:XY:AY?
0195 - BY             BY         :CURSor:XY:BY
0196 - BY?            BY?        :CURSor:XY:BY?
0197 - AXValue?       AXV?       :CURSor:XY:AXValue?
0198 - AYValue?       AYV?       :CURSor:XY:AYValue?
0199 - BXValue?       BXV?       :CURSor:XY:BXValue?
019A - BYValue?       BYV?       :CURSor:XY:BYValue?
019B - DISPlay        DISP       :MATH:DISPlay
019C - DISPlay?       DISP?      :MATH:DISPlay?
019D - OPERator       OPER       :MATH:OPERator
019E - OPERator?      OPER?      :MATH:OPERator?
019F - SOURce1        SOUR1      :MATH:SOURce1
01A0 - SOURce1?       SOUR1?     :MATH:SOURce1?
01A1 - SOURce2        SOUR2      :MATH:SOURce2
01A2 - SOURce2?       SOUR2?     :MATH:SOURce2?
01A3 - LSOUrce1       LSOU1      :MATH:LSOUrce1
01A4 - LSOUrce1?      LSOU1?     :MATH:LSOUrce1?
01A5 - LSOUrce2       LSOU2      :MATH:LSOUrce2
01A6 - LSOUrce2?      LSOU2?     :MATH:LSOUrce2?
01A7 - SCALe          SCAL       :MATH:SCALe
01A8 - SCALe?         SCAL?      :MATH:SCALe?
01A9 - OFFSet         OFFS       :MATH:OFFSet
01AA - OFFSet?        OFFS?      :MATH:OFFSet?
01AB - INVert         INV        :MATH:INVert
01AC - INVert?        INV?       :MATH:INVert?
01AD - RESet          RES        :MATH:RESet
01AE - WINDow         WIND       :MATH:FFT:WINDow
01AF - WINDow?        WIND?      :MATH:FFT:WINDow?
01B0 - SPLit          SPL        :MATH:FFT:SPLit
01B1 - SPLit?         SPL?       :MATH:FFT:SPLit?
01B2 - SOURce         SOUR       :MATH:FFT:SOURce
01B3 - SOURce?        SOUR?      :MATH:FFT:SOURce?
01B4 - UNIT           UNIT       :MATH:FFT:UNIT
01B5 - UNIT?          UNIT?      :MATH:FFT:UNIT?
01B6 - HSCale         HSC        :MATH:FFT:HSCale
01B7 - HSCale?        HSC?       :MATH:FFT:HSCale?
01B8 - HCENter        HCEN       :MATH:FFT:HCENter
01B9 - HCENter?       HCEN?      :MATH:FFT:HCENter?
01BA - MODE           MODE       :MATH:FFT:MODE
01BB - MODE?          MODE?      :MATH:FFT:MODE?
01BC - STARt          STAR       :MATH:OPTion:STARt
01BD - STARt?         STAR?      :MATH:OPTion:STARt?
01BE - END            END        :MATH:OPTion:END
01BF - END?           END?       :MATH:OPTion:END?
01C0 - INVert         INV        :MATH:OPTion:INVert
01C1 - INVert?        INV?       :MATH:OPTion:INVert?
01C2 - SENSitivity    SENS       :MATH:OPTion:SENSitivity
01C3 - SENSitivity?   SENS?      :MATH:OPTion:SENSitivity?
01C4 - DIStance       DIS        :MATH:OPTion:DIStance
01C5 - DIStance?      DIS?       :MATH:OPTion:DIStance?
01C6 - ASCale         ASC        :MATH:OPTion:ASCale
01C7 - ASCale?        ASC?       :MATH:OPTion:ASCale?
01C8 - THReshold1     THR1       :MATH:OPTion:THReshold1
01C9 - THReshold1?    THR1?      :MATH:OPTion:THReshold1?
01CA - THReshold2     THR2       :MATH:OPTion:THReshold2
01CB - THReshold2?    THR2?      :MATH:OPTion:THReshold2?
01CC - SOURce1        SOUR1      :MATH:OPTion:FX:SOURce1
01CD - SOURce1?       SOUR1?     :MATH:OPTion:FX:SOURce1?
01CE - SOURce2        SOUR2      :MATH:OPTion:FX:SOURce2
01CF - SOURce2?       SOUR2?     :MATH:OPTion:FX:SOURce2?
01D0 - OPERator       OPER       :MATH:OPTion:FX:OPERator
01D1 - OPERator?      OPER?      :MATH:OPTion:FX:OPERator?
01D2 - TYPE           TYPE       :MATH:FILTer:TYPE
01D3 - TYPE?          TYPE?      :MATH:FILTer:TYPE?
01D4 - LLIMit         LLIM       :MATH:FILTer:LLIMit
01D5 - LLIMit?        LLIM?      :MATH:FILTer:LLIMit?
01D6 - ULIMit         ULIM       :MATH:FILTer:ULIMit
01D7 - ULIMit?        ULIM?      :MATH:FILTer:ULIMit?
01D8 - W1             W1         :MATH:FILTer:W1
01D9 - W1?            W1?        :MATH:FILTer:W1?
01DA - W2             W2         :MATH:FILTer:W2
01DB - W2?            W2?        :MATH:FILTer:W2?
01DC - MODE           MODE       :CALCulate:MODE
01DD - MODE?          MODE?      :CALCulate:MODE?
01DE - SA             SA         :CALCulate:ADD:SA
01DF - SA?            SA?        :CALCulate:ADD:SA?
01E0 - SB             SB         :CALCulate:ADD:SB
01E1 - SB?            SB?        :CALCulate:ADD:SB?
01E2 - INVert         INV        :CALCulate:ADD:INVert
01E3 - INVert?        INV?       :CALCulate:ADD:INVert?
01E4 - VSCale         VSC        :CALCulate:ADD:VSCale
01E5 - VSCale?        VSC?       :CALCulate:ADD:VSCale?
01E6 - VOFFset        VOFF       :CALCulate:ADD:VOFFset
01E7 - VOFFset?       VOFF?      :CALCulate:ADD:VOFFset?
01E8 - SA             SA         :CALCulate:SUB:SA
01E9 - SA?            SA?        :CALCulate:SUB:SA?
01EA - SB             SB         :CALCulate:SUB:SB
01EB - SB?            SB?        :CALCulate:SUB:SB?
